BrierRandom,QuestionId,sample,RepRandom,best
0.134841482270458,127,8,-0.44956538968,5
0.177861616222215,127,9,-0.46378369568,5
0.273717284564727,127,10,-0.46435170068,5
0.329506246405895,129,1,-0.5,5
0.332632687665316,129,2,-0.45650665898,5
0.344794576147396,129,3,-0.4914734994,5
0.327640583849981,129,4,-0.4908311484,5
0.386741587708458,129,5,-0.43894176942,5
0.323352112285955,129,6,-0.50679391912,5
0.342791026192619,129,7,-0.46001954972,5
0.358451888775451,129,8,-0.46821735668,5
0.292650719853019,129,9,-0.41448036866,5
0.403349383191518,129,10,-0.46378369568,5
0.293112984755717,130,1,-0.46378369568,5
0.274982329233921,130,2,-0.46491497898,5
0.18508734557912,130,3,-0.5,5
0.229978206338404,130,4,-0.489531694,5
0.162489261281972,130,5,-0.48545300036,5
0.28762372004504,130,6,-0.48375,5
0.241430194722499,130,7,-0.50375,5
0.189799119555672,130,8,-0.47123469436,5
0.253427123927585,130,9,-0.43906636484,5
0.185367766199512,130,10,-0.48375,5
0.165053363232673,131,1,-0.22312518666,5
0.100060545770909,131,2,-0.32769286842,5
0.295393448469958,131,3,-0.29865766052,5
0.0444293420653499,131,4,-0.33749962446,5
0.0503823748755958,131,5,-0.31037132836,5
0.055611763516482,131,6,-0.3108677411,5
0.101068085181912,131,7,-0.2666813959,5
0.051063271119915,131,8,-0.33169492498,5
0.14026200879314,131,9,-0.19886602482,5
0.0934194108516283,131,10,-0.31805990012,5
0.159192237260601,138,1,-0.46378369568,5
0.109231153147101,138,2,-0.446548052,5
0.199793372786754,138,3,-0.46491497898,5
0.182942038577688,138,4,-0.5,5
0.0805727740591549,138,5,-0.446548052,5
0.168646032133688,138,6,-0.48276435632,5
0.192195322037725,138,7,-0.4476793353,5
0.186843062988174,138,8,-0.42869867466,5
0.132493258800975,138,9,-0.446548052,5
0.114246917376682,138,10,-0.40340892632,5
0.189460984441492,139,1,-0.25651663304,5
0.052165086835705,139,2,-0.21831907966,5
0.154822379146327,139,3,-0.37111791612,5
0.113358526386159,139,4,-0.28958298832,5
0.0907443181839121,139,5,-0.20799708044,5
0.121245270565428,139,6,-0.20417201596,5
0.132649377852535,139,7,-0.20690575978,5
0.070720104827302,139,8,-0.12243745336,5
0.0888647158120735,139,9,-0.26625715018,5
0.199288436377955,139,10,-0.28060953372,5
0.317424948655877,140,1,-0.3447197822,5
0.367725861843276,140,2,-0.30055889042,5
0.18955876417088,140,3,-0.2725509059,5
0.508067477586119,140,4,-0.40033848066,5
0.295946029965457,140,5,-0.29080110648,5
0.272995487979268,140,6,-0.38689379378,5
0.244947370345402,140,7,-0.15190480526,5
0.253829390632721,140,8,-0.3245930225,5
0.319095762794032,140,9,-0.21456964252,5
0.243128670570097,140,10,-0.25875874848,5
0.245479406785434,142,1,-0.46549275778,5
0.236827234878582,142,2,-0.485781694,5
0.21056063928952,142,3,-0.48545300036,5
0.136542929881114,142,4,-0.4908311484,5
0.275020216138217,142,5,-0.3953302478,5
0.171873401202977,142,6,-0.46516406414,5
0.199858166265137,142,7,-0.46378369568,5
0.182252836260723,142,8,-0.5,5
0.321740793707461,142,9,-0.44288679968,5
0.200230180123708,142,10,-0.46378369568,5
0.0774031249470001,143,1,-0.48375,5
0.106301810691369,143,2,-0.44166746914,5
0.0710737394743133,143,3,-0.4914734994,5
0.131495205721,143,4,-0.485781694,5
0.225405905347458,143,5,-0.5,5
0.0505850498286533,143,6,-0.48134858524,5
0.103386678620106,143,7,-0.47515807374,5
0.0556549592092789,143,8,-0.485781694,5
0.0977323187341342,143,9,-0.45686087432,5
0.0243215652947914,143,10,-0.46105964902,5
0.211061796555765,147,1,-0.47971106378,5
0.159989337093744,147,2,-0.48545300036,5
0.222100670858868,147,3,-0.48375,5
0.16486327689243,147,4,-0.49194589534,5
0.342476547592822,147,5,-0.5,5
0.211033284852467,147,6,-0.50375,5
0.162146542708563,147,7,-0.4290871001,5
0.146545701159768,147,8,-0.4843701057,5
0.24590424667805,147,9,-0.47116963096,5
0.196152642180528,147,10,-0.44166746914,5
0.0728929218011633,150,1,-0.45791746914,5
0.0438232724043556,150,2,-0.4914734994,5
0.0383462853568684,150,3,-0.485781694,5
0.030300954243863,150,4,-0.485781694,5
0.0352006896501804,150,5,-0.45791746914,5
0.0198912981387636,150,6,-0.5,5
0.0328798747077909,150,7,-0.45791746914,5
0.0174076081556876,150,8,-0.46578931622,5
0.0135135586406417,150,9,-0.46663157314,5
0.035791186979298,150,10,-0.48375,5
0.0504501449062107,154,1,-0.25045972168,5
0.0974645320710236,154,2,-0.28747587014,5
0.125732864975831,154,3,-0.2372464984,5
0.0517599661504068,154,4,-0.27319098528,5
0.0779208723580221,154,5,-0.35909926178,5
0.0813909284878004,154,6,-0.22184942524,5
0.0615879437163903,154,7,-0.28132236334,5
0.0327177687456173,154,8,-0.28766671228,5
